gis_id,NAME,NBH_NAMES,NCID,population_total_val,population_under_18_val,population_under_5_val,total_neighborhood_poverty_perc,children_in_poverty_perc,single_mother_families_perc,no_dip_18_perc,no_dip_25_perc,youth_ready_to_work_perc,engagement_perc,medicaid_enroll_val,prev_med_visit_val,dental_visit_val,er_ast_10_val,fs_client_2012_val,math_perc,reading_perc,parcc_math,parcc_read,cc_cap_val,cc_pop_ratio,cc_child_pov_ratio,cc_sub_13_cur,homeownership_perc,vacants_val,grocery_val,rec_val,parks_val,metro_val,bus_stops_val,total_crime_val,total_crime_pc_ratio,homicide_val,homicide_pc_ratio,assault_val,assault_pc_ratio,robbery_val,robbery_pc_ratio,sex_abuse_val,sex_abuse_pc_ratio,white_18,black_18,hispanic_18,other_18,other_under_18,no_hs_degree_18_24,children_in_poverty_numer,children_in_poverty_denom,population_other_total,white_under_18,black_under_18,hispanic_under_18,no_hs_degree_25_plus,youth_ready_to_work_numer,youth_ready_to_work_denom,homeownership_numer,work_numer,median_family_income,pop_nothisp_white_perc,pop_nothisp_black_perc,pop_nothisp_other_perc,pop_hisp_perc,pop_nothisp_white_under18_perc,pop_nothisp_black_under18_perc,pop_nothisp_other_under18_perc,pop_hisp_under18_perc,median_family_income_val
Nbclus_026,Cluster 26,"Capitol Hill, Lincoln Park",26,28878.5,3664.532,1592.182,0.123395,0.2019,0.144398,0.204041,0.077163,0.885726,0.629751074,4182.634211,2166.41901,2133.779434,99.60491705,3698.485072,0.584431138,0.592814371,0.231069036,0.211362034,93,0.087643,0.817812,259132.72,0.544296,77,3,3,27,4,121,183,6.336893352,1,0,58,2.008414286,113,3.912945075,11,0.380906158,14842.45,8205.862,1185.192,407.91,407.91,2734.812,723.298,3555.997,1432.978,1723.775,1265.294,267.553,1825.275,1197.221,1325.348,6356.808,659.508,,0.573652499,0.326421168,0.049620922,0.050305411,0.47039431,0.345281198,0.111312986,0.073011506,163324.3
Nbclus_027,Cluster 27,"Near Southeast, Navy Yard",27,4247,319,239,0.101275,0.062696,0.34296,0.044099,0.043079,0.8861,0.712657895,901.8603272,452.8881756,460.3286212,,579.9631534,0.5,0.365384615,0.016666667,0.2,8,0.045198,,14559.37,0.21875,3,0,1,4,1,25,15,3.531904874,0,0,5,1.177301625,10,2.354603249,0,0,2604,971,136,48,48,699,19,220,283,188,83,0,175,440,502,387,41,,0.657405227,0.243936897,0.066635272,0.032022604,0.589341693,0.260188088,0.150470219,0,111563
Nbclus_028,Cluster 28,Historic Anacostia,28,5162.966,1865.281,834.734,0.465845,0.636389,0.859167,0.287046,0.19599,0.560856,0.537337729,1513.057143,971.7794467,822.6892513,81.81159335,2783.220243,0.404475043,0.356282272,0.157,0.082,130,0.234044,0.229419,737428.97,0.26731,70,0,2,1,0,37,129,24.9856381,3,0.581061351,59,11.42753991,63,12.20228837,4,0.774748468,80.412,3191.031,15.484,0.503,0.503,637.221,982.41,1456.701,12.229,1.974,1862.32,0.484,582.293,167.544,332.674,445.061,200.301,,0.015957107,0.978581498,0.0023686,0.003092796,0.001058286,0.998412572,0.000269664,0.000259478,29483.34
Nbclus_029,Cluster 29,"Eastland Gardens, Kenilworth",29,1948.526,526.87,61.617,0.428242,0.677643,0.544885,0.299401,0.261526,0.352941,0.632845335,463.4877248,284.639089,247.0076948,,826.4515557,0.451104101,0.406940063,,,14,0.783875,0.261292,33725.19,0.453125,14,0,1,1,0,7,65,33.35854897,2,0.513208446,41,21.04154628,19,9.75096047,3,1.539625337,1.786,1374.327,8.93,7.144,7.144,321.48,483.113,843.885,43.757,0.893,518.833,0,300.048,121.448,241.11,292.904,50.901,,0.001374885,0.971585701,0.022456462,0.004582951,0.001694915,0.984745763,0.013559322,0,38262
Nbclus_030,Cluster 30,"Mayfair, Hillbrook, Mahaning Heights",30,6422.727,1739.284,740.836,0.313704,0.44422,0.847268,0.204207,0.22785,0.71105,0.627655914,1974.803872,1212.775107,1052.437262,98.62930063,3521.300864,0.485996705,0.457990115,0.044736318,0.083670051,190,0.443173,0.513111,19188.14,0.207727,36,0,0,0,1,38,187,29.11535863,3,0.155697105,74,11.52158577,102,15.88110471,8,1.24557684,33.181,4397.72,194.768,0,0,594.936,745.139,1779.616,67.094,0,1661.993,77.291,926.767,275.416,453.888,686.682,428.788,,0.005166186,0.942028674,0.010446342,0.042358799,0,0.955561599,0,0.044438401,32755.42
Nbclus_031,Cluster 31,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",31,12906.43,3549.53,1097.231,0.270198,0.325593,0.68953,0.241415,0.197115,0.572873,0.600746529,3370.408433,2069.849825,1796.200359,168.3311604,6009.823216,0.41918429,0.394259819,0.100276303,0.079166978,263,0.338794,0.738619,1599503.61,0.433088,174,0,4,5,1,90,342,26.49841567,9,0.542365233,145,11.2347084,170,13.17172709,18,1.394653457,145.474,8957.103,169.446,9.856,9.856,1483.798,1834.227,4097.271,145.001,10.107,3474.021,55.546,1644.568,471.922,909.762,1911,621.201,,0.012054532,0.959278134,0.011234786,0.017432548,0.002847419,0.978727043,0.002776706,0.015648832,45113.7
Nbclus_032,Cluster 32,"River Terrace, Benning, Greenway, Dupont Park",32,12025.8,2682.918,899.785,0.291725,0.457711,0.701475,0.355125,0.17436,0.443925,0.618694546,3609.92856,2219.963144,1925.006231,180.7363471,6442.959713,0.454148472,0.431441048,0.181196643,0.137440594,52,0.098378,0.10472,390997.87,0.31645,47,1,2,7,0,84,299,24.86321903,2,0.166309157,124,10.31116776,166,13.80366007,7,0.582082051,40.934,9085.142,143.89,1.63,1.63,1432.309,1022.726,2829.824,93.269,0.652,2578.169,102.467,1308.396,340.901,892.998,1877.993,899.228,,0.003458066,0.968300477,0.007755744,0.020485713,0.000243019,0.960957062,0.000607547,0.038192371,45416.2
Nbclus_033,Cluster 33,"Capitol View, Marshall Heights, Benning Heights",33,18202.81,5145.074,1354.382,0.283884,0.39935,0.708778,0.286238,0.171864,0.468055,0.609898024,4962.642774,3047.679674,2644.753865,247.853467,8848.9589,0.505580357,0.436383929,0.305679188,0.179788945,183,0.232077,0.330071,707196.76,0.366374,127,0,4,12,1,101,340,18.67843584,8,0.329619456,163,8.954661888,157,8.625042432,12,0.659238912,185.559,12455.52,259.922,30,30,1798.804,1812.563,4573.138,294.148,29,4935.281,150.793,1840.033,599.714,1171.454,2641.46,1155.504,,0.011787137,0.949490103,0.016159484,0.022563276,0.005636459,0.959224493,0.00583082,0.029308228,42815.92
Nbclus_034,Cluster 34,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",34,15800.95,2454.99,770.971,0.192981,0.272872,0.560001,0.196518,0.133464,0.706591,0.615719428,5421.103543,3457.487227,2938.282516,289.5600162,9923.313723,0.485106383,0.46212766,0.061765432,0.0527659,243,0.471947,0.81466,818781.36,0.459598,101,1,4,18,0,87,213,13.48020043,3,0.189861978,106,6.708456554,90,5.695859338,14,0.886022564,313.958,12542.74,192.388,71.062,71.062,1385.485,826.648,2576.224,496.551,36.4,2251.561,95.967,1679.214,452.175,805.872,3375.489,1038.23,,0.022173221,0.928152177,0.031425385,0.018249217,0.014826944,0.917136526,0.028945943,0.039090587,63004.48
Nbclus_035,Cluster 35,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",35,5424.758,666.334,136.178,0.154506,0.166323,0.701643,0.162132,0.105363,0.799068,0.64025441,2068.362012,1328.430787,1124.623219,111.8371457,3804.685802,0.521052632,0.534210526,,,10,0.089978,0.532311,147798.24,0.409835,14,1,1,6,0,69,77,14.19418157,1,0.18434002,21,3.871140427,53,9.770021077,2,0.368680041,294.108,4067.452,420.656,9.308,9.308,392.188,190.584,677.042,109.18,23.948,629.142,3.936,494.974,172.424,295.916,1005.472,511.148,,0.05863045,0.842974009,0.020126243,0.078269298,0.035939934,0.944184148,0.013968971,0.005906948,60370.77
