neighborhood_id,population_total,population_total_margin,population_under_18,population_under_18_margin,median_family_income,median_family_income_margin,single_mother_families,single_mother_families_margin,children_in_poverty,children_in_poverty_margin,population_white_total,population_white_total_margin,population_black_total,population_black_total_margin,population_hisp_total,population_hisp_total_margin,population_under_5,population_under_5_margin,population_other_total,population_other_total_margin,white_under_18,white_under_18_margin,hispanic_under_18,hispanic_under_18_margin,no_hs_degree_25_plus,no_hs_degree_25_plus_margin,white_18,white_18_margin,hispanic_18,hispanic_18_margin,no_hs_degree_18_24,no_hs_degree_18_24_margin
1,17306.291,1629.872,1243.628,453.326,445337.793,63442.05,42.0,262.435,1209.033,452.245,11600.974,1612.413,2029.38,737.11,2086.522,901.112,762.463,328.64165678281813,1864.5529999999999,1105.4554853156314,826.626,868.5425728493899,206.86599999999999,921.8241217490739,0.0,944.87,10774.348,1835.9325708752035,1847.656,1615.9456377723614,16062.663,1736.008880772114
6,19407.726,1990.6209999999999,759.3839999999999,406.18299999999994,435517.893,64828.48399999999,157.161,333.76099999999997,712.9789999999999,423.26399999999995,13844.766000000001,1677.156,1795.6989999999998,764.4409999999999,1594.626,836.3609999999999,393.569,650.0079993436927,2539.0969999999998,1386.751961295164,368.85299999999995,1233.2300372353245,89.667,967.2087312206856,14.239,906.4629219284642,13475.912999999999,2113.4071273984396,1424.764,1660.58253723494,18634.103,2091.2609951517343
3,12455.658000000001,1549.456,1103.2010000000002,377.03700000000003,205893.708,42457.613000000005,297.48099999999994,270.7,1064.122,346.60600000000005,4420.288,859.0310000000001,5864.994,1481.844,1399.623,749.423,559.466,305.3907782709758,945.59,612.1193292039485,190.286,619.525752998982,182.656,453.5867018713099,98.88000000000001,427.06334180771904,4230.0019999999995,1080.872702383277,1045.002,1018.1437393780211,11253.577000000001,1597.5802551343218
8,17119.506,2059.445,1501.0230000000001,653.126,431533.95,93912.601,636.581,529.765,1485.3780000000002,643.5339999999999,7295.911000000001,1262.255,5993.12,1417.327,1825.069,899.562,683.129,724.9857020175172,2275.918,1347.1948237658455,116.27600000000001,1495.2517892958394,107.687,1063.775983334741,269.515,1006.8020923742617,7179.635000000001,1969.028223313689,1633.9330000000002,1877.7117922457128,15348.968,2050.5059326329256
7,17362.052,1951.7249999999997,1607.419,698.4100000000001,445612.308,111332.219,387.795,403.737,1575.6239999999998,697.13,8327.571,1307.1770000000001,4967.486,1178.5610000000001,2601.999,1285.106,730.749,649.301637457545,1922.1979999999999,1228.7513852052007,176.534,1328.2299485934127,200.205,898.4362334771017,210.749,874.5393605368315,8151.037,1888.2015163346032,2159.243,1933.648379888532,15543.884,1846.005658652064
5,15705.887999999999,2210.068,287.339,199.41899999999998,133165.043,24566.538,9.979,205.849,250.339,225.41899999999998,10624.471,1753.779,1274.28,437.377,1207.0529999999999,538.142,161.725,351.3175301974265,2898.805,870.2359913720016,179.052,575.4258325201014,16.0,468.61081876744555,16.761,452.8464186514593,10445.419,1850.9208586330565,1182.248,862.0302781925392,15401.788,2217.5614494402325
27,1863.0,321.0,194.0,161.0,80313.0,11925.0,96.0,157.0,194.0,161.0,995.0,273.0,639.0,236.0,63.0,64.0,88.0,113.97368117245314,211.0,195.86985475054604,59.0,236.2181195420876,0.0,190.0,0.0,190.0,936.0,361.0096951606701,63.0,276.2173057576226,1669.0,330.1514803843835
44,3231.196,686.734,910.51,274.966,71379.0,8462.06,120.114,70.48400000000001,895.914,272.624,1543.954,430.788,992.822,265.19,518.0,277.83,539.78,162.4577908647672,221.84,240.17700760969717,325.0,178.27670989719178,171.0,163.79725760686395,23.259999999999998,179.92712975308737,1218.954,481.86409732158967,292.0,353.5865586860127,2297.426,543.9748183541233
38,12807.019,1610.708,4695.357,981.686,103766.23300000001,26855.998,2922.977,855.8710000000001,4649.299,976.578,72.276,261.37,12482.301,1589.55,242.31400000000002,263.797,1891.9850000000001,650.8870280424086,20.256,890.7649964713869,0.0,974.3082916613199,30.0,637.7744337691481,437.965,541.2081282017128,72.276,1012.7670569330637,115.08500000000001,922.3735592722235,7673.697,1127.0737012686009
37,7928.272,1168.596,2923.524,929.544,79313.0,27756.992,1904.576,800.898,2903.634,928.5219999999999,16.89,122.80199999999999,7787.548,1173.662,123.834,179.416,1058.972,404.6452861334444,0.0,748.5095034132833,0.0,800.1903178619445,47.714,496.1615626474599,234.998,408.6079797987174,16.89,817.3080229698733,64.384,757.2585012695215,4769.75,783.883207539642
36,7344.927,1079.459,2158.269,662.159,50886.747,9021.999,1438.124,591.354,2158.256,662.159,82.767,104.144,7157.082,1070.42,53.0,95.235,787.25,294.30471180695145,104.143,435.82291692342756,0.0,540.8942612008376,0.0,382.47,425.405,313.2638724561048,82.767,550.8804873822304,53.0,552.2496342274867,4761.253,882.6927862249586
28,4821.8009999999995,713.9449999999999,1462.2069999999999,453.297,49930.253,16477.009,1030.3,439.748,1461.1100000000001,453.319,58.342999999999996,182.05399999999997,4756.370000000001,710.918,1.166,190.349,642.778,261.2387802526241,10.857,445.0438625955171,0.0,539.8194588934341,0.286,381.1740395168,264.597,283.9173053768168,58.342999999999996,569.9827598123878,0.616,571.6847306055126,3094.9970000000003,573.1977048248533
34,15352.668000000001,1989.6180000000002,2346.978,891.536,262709.909,39092.733,1152.856,707.497,2334.612,890.527,371.65100000000007,339.12199999999996,14541.556,1965.955,196.365,288.815,778.766,575.9463659052993,396.942,1132.74071334835,1.674,1424.4077434185194,13.206999999999999,972.0164407980783,386.579,775.831920146865,369.97700000000003,1478.121126406982,183.15800000000002,1450.579303650655,12619.110999999999,1750.067785613702
35,5830.887999999999,663.1600000000001,904.57,320.692,72643.314,8190.902,511.96999999999997,239.56799999999998,904.2620000000001,320.538,175.67000000000002,115.08,5411.036,663.6379999999999,174.21200000000002,157.80599999999998,190.572,160.69937827902703,87.82000000000001,312.03953666685504,0.0,398.21425489301606,0.0,281.58,133.84799999999998,259.72527332717715,175.67000000000002,416.0447387882558,174.21200000000002,431.7653132793757,4792.47,552.9112808374126
33,16392.682,2349.144,4727.185,1388.316,259861.403,53770.948000000004,2353.2699999999995,1179.294,4695.457,1386.316,122.44300000000001,440.733,15909.184,2383.3700000000003,115.45599999999999,264.687,1453.333,864.4020105274712,380.77500000000003,1533.6457267000326,10.458,1778.769631445805,1.568,1273.207195236348,343.886,1081.580896967817,111.98500000000001,1840.8121233925187,111.928,1836.6573924450513,11321.611,1921.1332060577824
32,12802.024,1695.552,3771.576,1122.308,148282.817,33277.471,2113.436,929.0909999999999,3725.5200000000004,1107.471,84.88300000000001,122.95,12461.504,1723.0829999999999,176.575,196.953,1449.576,705.5556067915743,139.36599999999999,842.6573978313512,0.326,1057.203146243382,14.793,721.5526060628571,235.579,553.0203931103421,84.557,1069.0523670643784,133.78199999999998,1046.3431564788546,8794.869,1177.3346426682692
45,8.301,95.813,0.882,95.213,256.452,46.164,0.042,95.063,0.882,95.213,6.96,95.693,0.372,95.24,0.417,95.315,0.399,164.717294107265,0.678,251.90214428762772,0.522,269.0568576390313,0.021,190.49494545153988,0.0,190.57,6.438,285.77922076461033,0.324,285.7706847604565,7.4190000000000005,213.37805861910016
9,12122.0,1491.0,1236.0,660.0,231462.0,33965.0,698.0,483.0,1232.0,661.0,4069.0,715.0,6353.0,1307.0,629.0,460.0,364.0,549.0452029961172,1391.0,1035.8804980773555,53.0,1009.1726376004885,6.0,734.9120977975842,91.0,599.713482173524,4016.0,1272.238623116048,598.0,1147.1464306816554,10795.0,1367.844345446621
26,28150.625,3662.742,3878.4480000000003,1279.852,987580.869,186891.097,743.432,766.884,3749.0099999999998,1190.286,15783.382000000001,2198.692,9512.678,2641.111,1267.6779999999999,959.2790000000001,1860.419,1141.9526082305208,2170.335,2202.934216770265,1586.046,2069.0607001912344,95.59100000000001,1856.0257815382158,547.853,1922.7209653216455,14197.336000000001,3147.8071991962797,895.8830000000002,2767.12082977117,23724.324,3788.549892341835
22,13011.74,1631.622,2827.3570000000004,719.668,236306.95099999997,45960.042,1380.071,573.538,2802.327,722.8759999999999,1453.836,562.78,10271.143,1418.993,778.24,582.78,750.3789999999999,359.39842047336003,721.054,881.1145437836369,277.424,824.0709197334982,66.356,656.8708070466752,214.87600000000003,580.8501057680628,1176.412,1097.0923159328038,613.709,1130.6739824786482,9969.507000000001,1512.286654819456
19,12236.978000000001,1525.6750000000002,2460.7400000000002,831.2789999999999,228929.039,44552.761000000006,614.176,472.582,2441.7780000000002,828.917,1194.64,372.905,9506.900000000001,1497.245,1088.904,713.703,867.509,547.4603782202785,638.093,817.6842478546978,37.442,1030.454625788151,284.71900000000005,503.69813468999627,205.56500000000003,662.7868627017538,1157.198,1148.217430065043,611.331,1097.0844818788498,9570.672999999999,1225.8004400394884
20,12519.58,1344.2640000000001,2050.509,707.12,218108.87900000002,36800.778999999995,569.279,410.358,2037.881,705.7520000000001,1611.436,491.57300000000004,9547.144,1308.287,1041.433,856.4240000000001,528.994,394.2808845898825,396.666,727.2822705642607,50.307,848.720635033317,260.284,484.036239366147,246.65000000000003,555.0215210411629,1561.1290000000001,1005.306119280388,655.6129999999999,1153.6274593793335,10222.421,1118.117643678847
30,5945.9,862.6540000000001,1642.771,454.50600000000003,52839.153,13675.462,1159.9,450.426,1642.305,454.50600000000003,26.092999999999996,122.75699999999999,5883.764,864.0520000000001,4.992,126.287,437.20300000000003,262.36745854586945,36.875,466.07780019618633,0.466,546.4854201939789,0.0,392.34999999999997,143.448,282.8136153846094,25.627,564.2833613387111,4.992,575.1511327129475,4159.6810000000005,652.9265117395065
39,28206.58,4915.15,8295.123,2958.1510000000003,318472.0,102579.477,5498.692,2442.1820000000002,8121.847000000001,2909.594,382.497,474.562,27053.015,4997.859,430.616,835.2539999999999,2944.7639999999997,1476.3939914416032,657.904,2338.9645822343737,17.0,2721.271414124884,105.0,1895.132078509135,898.201,1526.7565061257562,365.497,2787.096425158573,214.845,2810.7258228820147,19013.256,3491.130000604431
23,16025.115,2317.933,3164.838,1131.59,161341.644,56842.232,1545.24,727.285,3138.71,1123.058,1166.589,534.9,13844.676,2246.746,532.437,694.546,955.979,656.3502832044104,763.826,1013.7187217354666,63.034,1298.1076431316426,80.0,850.7427664703996,408.65,823.7683895990863,1103.555,1451.0980212996512,421.851,1466.5349105406456,12451.627,2002.958518390593
24,6513.487,727.9410000000001,1064.975,392.126,90651.20300000001,19743.082,224.377,194.273,1014.513,359.72999999999996,311.231,223.836,5774.163000000001,708.527,285.39300000000003,191.274,472.72999999999996,220.57648651652562,215.508,369.4169715488762,43.05,469.6861857303312,0.132,356.36461589317463,35.620000000000005,317.8762602877584,268.18100000000004,552.796420156305,218.13800000000003,537.8194513373596,5412.892000000001,634.6623937815891
31,12606.356,1841.2440000000001,4070.605,1201.483,131948.40399999998,38153.288,2629.5260000000003,1180.076,4065.142,1198.915,133.26,167.523,12149.083,1803.381,297.4,538.617,826.16,503.2450039397712,43.004000000000005,1094.5715611927362,1.076,1202.4290602814585,14.432,843.1029602365892,456.302,707.6839765506551,132.184,1216.8067071258934,206.928,1347.0224521299326,8079.4490000000005,1411.219748450316
25,25194.163,3092.572,3947.5769999999998,1301.449,794918.199,140098.709,1589.93,1041.051,3861.0150000000003,1259.0149999999999,11532.631,1798.535,11165.172,2496.777,1245.527,1035.403,1785.839,891.1880009961037,1603.676,1990.329443328951,1296.365,1872.2667989248212,180.45299999999997,1722.9330735550375,226.46499999999997,1591.7801126408258,10236.266,2719.6354316588204,956.032,2741.978374541428,21020.121000000003,3033.2229222204523
42,4.299,0.555,0.597,0.123,547.734,218.397,0.024,0.039,0.597,0.123,3.165,0.63,0.108,0.09,0.774,0.39,0.14400000000000002,0.10200000000000001,0.28800000000000003,0.598490601429964,0.357,0.44663743685454765,0.024,0.49494545153986413,0.093,0.5012424563023368,2.8080000000000003,0.7722596713541372,0.534,0.7041633333254438,3.609,0.730208874227094
43,23.205000000000002,2.408,10.01,1.197,186.767,45.465,7.2170000000000005,1.463,9.94,1.204,0.273,0.28,22.862000000000002,2.4010000000000002,0.07,0.11900000000000001,2.471,0.9567491834331503,0.0,1.7594246218579526,0.0,1.880904037956216,0.0,1.33,0.5740000000000001,1.0482017935493146,0.273,1.9016308790088574,0.07,1.8846646916626837,12.621,2.2846503014684765
29,2566.482,353.628,1299.315,324.159,40185.0,11048.196,709.042,300.048,1262.702,302.72700000000003,0.0,84.83500000000001,2554.873,354.521,0.0,84.83500000000001,205.39000000000001,128.38408538833775,23.218,190.64033721906807,0.0,239.949615127843,0.0,169.67000000000002,5.3580000000000005,147.32876274169956,0.0,254.50499999999997,0.0,254.50499999999997,1261.809,207.1067039281925
40,428.098,79.134,54.571,25.288999999999998,6765.11,769.923,23.595,13.673,54.571,25.288999999999998,90.62899999999999,51.183,241.03199999999998,46.585,84.579,48.278999999999996,30.008,17.667657456493767,12.826,18.944519867233375,4.598,23.277959747366175,11.616,20.398102338207835,10.164,14.93014484189621,86.03099999999999,56.227776934536564,61.467999999999996,55.91168963642577,363.363,72.57922536098054
