OBJECTID_1,gis_id,NAME,NBH_NAMES,NCID,population_total,population_total_margin,population_under_18,population_under_18_margin,median_family_income,median_family_income_margin,single_mother_families,single_mother_families_margin,children_poverty,children_in_poverty,children_in_poverty_margin,pop_nothisp_white,pop_nothisp_black,pop_nothisp_other,pop_hisp,pop_nothisp_white_under18,pop_nothisp_black_under18,pop_nothisp_other_under18,pop_hisp_under18,population_white_total_perc,population_white_total,population_white_total_margin,population_black_total_perc,population_black_total,population_black_total_margin,population_hisp_total_perc,population_hisp_total,population_hisp_total_margin,population_under_5_perc,population_under_5,population_under_5_margin,population_other_total_perc,population_other_total,population_other_total_margin,white_under_18_perc,white_under_18,white_under_18_margin,hispanic_under_18_perc,hispanic_under_18,hispanic_under_18_margin,no_hs_degree_25_plus,no_hs_degree_25_plus_margin,white_18,white_18_margin,hispanic_18,hispanic_18_margin,no_hs_degree_18_24,no_hs_degree_18_24_margin,libraries,grocery,rec,bus_stops,metro,RecCenters,violent_crimes,cc_cap,cc_ratio_demand,cc_ratio,cc_sub_12,cc_sub_13,vacants,math,reading,grad,dental_visit,er_ast_10,fs_client_2012,medicaid_enroll,prev_med_visit
1,Nbclus_009,Cluster 9,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",9,17306.291,1629.872,1243.628,453.326,445337.793,63442.05,42,262.435,0.069860896,1209.033,452.245,0.32,0.54,0.08,0.05,0.06,0.8,0.1,0.05,0.67,11600.974,1612.413,0.117262561,2029.38,737.11,0.120564366,2086.522,901.112,0.044056985,762.463,328.6416568,0.107738452,1864.553,1105.455485,0.664689119,826.626,868.5425728,0.166340739,206.866,921.8241217,0,944.87,10774.348,1835.932571,1847.656,1615.945638,16062.663,1736.008881,1,1,2,93,4,2,1,246,0.203468392,0.322638607,440876.85,197072.56,4,0.056666667,0.22,,2804.717795,92.07997715,2556.961154,5286.316624,3254.937732
22,Nbclus_021,Cluster 21,"Edgewood, Bloomingdale, Truxton Circle, Eckington",21,13011.74,1631.622,2827.357,719.668,236306.951,45960.042,1380.071,573.538,0.215369121,2802.327,722.876,0.2,0.69,0.05,0.07,0.06,0.8,0.04,0.1,0.11,1453.836,562.78,0.789375057,10271.143,1418.993,0.059810602,778.24,582.78,0.057669382,750.379,359.3984205,0.055415648,721.054,881.1145438,0.09812132,277.424,824.0709197,0.023469268,66.356,656.870807,214.876,580.8501058,1176.412,1097.092316,613.709,1130.673982,9969.507,1512.286655,0,0,2,127,0,2,0,196,0.069941873,0.26120134,455652.42,158348.67,46,0.53125,0.79625,0.5,1257.061807,160.0969602,4880.541325,2392.061492,1688.086593
7,Nbclus_031,Cluster 31,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",31,17362.052,1951.725,1607.419,698.41,445612.308,111332.219,387.795,403.737,0.090751024,1575.624,697.13,0.01,0.95,0.02,0.02,0,0.95,0.02,0.03,0.48,8327.571,1307.177,0.286111688,4967.486,1178.561,0.14986702,2601.999,1285.106,0.042088861,730.749,649.3016375,0.110712605,1922.198,1228.751385,0.109824507,176.534,1328.229949,0.124550599,200.205,898.4362335,210.749,874.5393605,8151.037,1888.201516,2159.243,1933.64838,15543.884,1846.005659,1,0,2,90,1,3,5,251,0.159301965,0.343483193,4057531.09,1599503.61,59,0.2975,0.73,0.78,1851.865425,168.3311604,6009.823216,3214.546248,2231.055857
8,Nbclus_007,Cluster 7,"Shaw, Logan Circle",7,17119.506,2059.445,1501.023,653.126,431533.95,93912.601,636.581,529.765,0.086765237,1485.378,643.534,0.48,0.28,0.1,0.15,0.13,0.5,0.11,0.27,0.43,7295.911,1262.255,0.350075522,5993.12,1417.327,0.106607574,1825.069,899.562,0.039903546,683.129,724.985702,0.132942972,2275.918,1347.194824,0.077464503,116.276,1495.251789,0.071742405,107.687,1063.775983,269.515,1006.802092,7179.635,1969.028223,1633.933,1877.711792,15348.968,2050.505933,1,2,1,59,1,1,5,168,0.113102523,0.245927197,835162.58,273269.03,17,0.398,0.654,,680.9021955,72.71043665,2501.599938,1291.265862,978.5730632
12,Nbclus_036,Cluster 36,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",36,12097.168,981.875,1337.805,347.796,211636.961,43204.219,59.874,200.487,0.110422952,1335.805,347.796,0.01,0.96,0.02,0.01,0,0.97,0.01,0.01,0.75,9049.172,1000.207,0.051354995,621.25,272.311,0.087144776,1054.205,543.602,0.056341782,681.576,285.9130397,0.137030915,1657.686,704.9574496,0.702097092,939.269,420.1193045,0.040846013,54.644,383.8021417,60.761,419.1147466,8109.903,1085.447048,926.432,780.3680889,10698.602,895.1989681,0,0,0,46,0,0,0,100,0.074861226,0.146718781,1088601.76,389770.62,6,0.11,0.6,,1002.203755,102.0586999,3472.024293,1812.587867,1322.959669
28,Nbclus_017,Cluster 17,"Takoma, Brightwood, Manor Park",17,4821.801,713.945,1462.207,453.297,49930.253,16477.009,1030.3,439.748,0.30302163,1461.11,453.319,0.12,0.66,0.04,0.18,0.07,0.58,0.06,0.29,0.01,58.343,182.054,0.986430174,4756.37,710.918,0.000241818,1.166,190.349,0.133306621,642.778,261.2387803,0.002251648,10.857,445.0438626,0,0,539.8194589,0.000195595,0.286,381.1740395,264.597,283.9173054,58.343,569.9827598,0.616,571.6847306,3094.997,573.1977048,1,1,2,100,1,2,7,221,0.151254868,0.343820106,1028953.56,420332.91,12,0.42625,0.71625,0.67,1789.934479,164.489897,4494.125072,3467.917127,2658.513244
15,Nbclus_013,Cluster 13,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",13,14439.424,1316.099,1390.294,374.874,391681.366,74739.536,100.247,224.549,0.096284589,1390.294,374.874,0.8,0.04,0.09,0.07,0.8,0.03,0.1,0.07,0.79,11366.091,1134.847,0.048496256,700.258,495.504,0.075606548,1091.715,590.992,0.043649594,630.275,351.98116,0.116099299,1676.407,821.0033923,0.686583557,954.553,623.1890171,0.069150841,96.14,618.0613628,28.008,671.03957,10411.538,1313.612608,877.326,1062.611197,13021.122,1395.983569,1,1,2,83,0,2,0,36,0.025893804,0.057117925,0,0,1,0.88,0.735,,31.34421038,15.83654864,89.52396086,80.17218045,53.5045544
3,Nbclus_032,Cluster 32,"River Terrace, Benning, Greenway, Dupont Park",32,12455.658,1549.456,1103.201,377.037,205893.708,42457.613,297.481,270.7,0.085432821,1064.122,346.606,0.01,0.95,0.02,0.03,0,0.95,0.02,0.03,0.35,4420.288,859.031,0.470869865,5864.994,1481.844,0.112368451,1399.623,749.423,0.044916615,559.466,305.3907783,0.075916503,945.59,612.1193292,0.17248534,190.286,619.525753,0.165569103,182.656,453.5867019,98.88,427.0633418,4230.002,1080.872702,1045.002,1018.143739,11253.577,1597.580255,1,1,1,84,0,1,1,54,0.050746061,0.096520611,544396.63,390997.87,13,0.2775,0.6025,,1981.486725,180.7363471,6442.959713,3443.692298,2393.784698
44,Nbclus_043,Cluster 43,St. Elizabeth's,43,3231.196,686.734,910.51,274.966,71379,8462.06,120.114,70.484,0.277270088,895.914,272.624,,,,,,,,,0.48,1543.954,430.788,0.30726146,992.822,265.19,0.160312157,518,277.83,0.167052695,539.78,162.4577909,0.068655693,221.84,240.1770076,0.356942812,325,178.2767099,0.187806834,171,163.7972576,23.26,179.9271298,1218.954,481.8640973,292,353.5865587,2297.426,543.9748184,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3.002797574,0.305918989,10.41658284,5.431313277,3.96621404
20,Nbclus_003,Cluster 3,"Howard University, Le Droit Park, Cardozo/Shaw",3,12519.58,1344.264,2050.509,707.12,218108.879,36800.779,569.279,410.358,0.162775508,2037.881,705.752,0.41,0.42,0.07,0.09,0.17,0.54,0.09,0.21,0.13,1611.436,491.573,0.762577019,9547.144,1308.287,0.08318434,1041.433,856.424,0.042253334,528.994,394.2808846,0.031683651,396.666,727.2822706,0.024533908,50.307,848.720635,0.126936288,260.284,484.0362394,246.65,555.021521,1561.129,1005.306119,655.613,1153.627459,10222.421,1118.117644,0,3,1,66,2,1,3,143,0.070170928,0.270324427,1645961.22,752066.25,19,0.463333333,0.793333333,0.76,459.6141117,51.71019505,1532.022312,871.7280777,660.0462741
