gis_id,NAME,population_total_val,children_u18_in_poverty_2007,children_u18_in_poverty_2010,children_u18_in_poverty_2014,children_u18_in_poverty_delta_07_14,children_u18_in_poverty_delta_10_14
E01008457,Newcastle upon Tyne 004C,5553.00,5,5,15,2,2
E01008458,Newcastle upon Tyne 004D,16529.00,5,5,0,-1,-1
E01008459,Newcastle upon Tyne 004E,8261.00,40,30,40,0,0.333333333
E01008460,Newcastle upon Tyne 004F,19685.00,15,15,10,-0.333333333,-0.333333333
E01008461,North Tyneside 021A,13373.00,10,15,15,0.5,0
E01008462,North Tyneside 024A,5387.00,10,5,10,0,1
E01008463,North Tyneside 024B,17607.00,10,10,5,-0.5,-0.5
E01008464,North Tyneside 024C,19442.00,0,5,0,0,-1
E01008465,North Tyneside 024D,16363.00,15,0,5,-0.666666667,0
E01008466,North Tyneside 021B,7303.00,0,0,0,0,0
E01008467,North Tyneside 021C,9113.00,5,10,5,0,-0.5
E01008468,North Tyneside 021D,8467.00,15,15,15,0,0
E01008469,North Tyneside 018A,19647.00,0,0,0,0,0
E01008470,North Tyneside 014A,10782.00,5,15,15,2,0
E01008471,North Tyneside 019A,11189.00,10,10,10,0,0
E01008472,North Tyneside 018B,11191.00,5,5,5,0,0
E01008473,North Tyneside 018C,15767.00,5,0,5,0,0
E01008474,North Tyneside 019B,19805.00,35,15,15,-0.571428571,0
E01008475,North Tyneside 008A,14288.00,5,5,0,-1,-1
E01008476,North Tyneside 008B,18968.00,10,30,25,1.5,-0.166666667
E01008477,North Tyneside 008C,20000.00,5,15,10,1,-0.333333333
E01008478,North Tyneside 002A,11160.00,20,15,10,-0.5,-0.333333333
E01008479,North Tyneside 008D,12369.00,5,0,5,0,0
E01008480,North Tyneside 002B,9987.00,5,15,15,2,0
E01008481,North Tyneside 023A,15297.00,10,10,15,0.5,0.5
E01008482,North Tyneside 023B,6697.00,0,15,20,0,0.333333333
E01008483,North Tyneside 022A,10493.00,5,5,5,0,0
E01008484,North Tyneside 023C,9634.00,20,10,15,-0.25,0.5
E01008485,North Tyneside 023D,12964.00,20,25,15,-0.25,-0.4
E01008486,North Tyneside 020A,18005.00,10,15,5,-0.5,-0.666666667
E01008487,North Tyneside 020B,18060.00,5,5,5,0,0
E01008488,North Tyneside 015A,5801.00,10,5,5,-0.5,0
E01008489,North Tyneside 015B,12967.00,15,15,15,0,0
E01008490,North Tyneside 015C,13264.00,5,5,5,0,0
E01008491,North Tyneside 015D,16306.00,15,10,10,-0.333333333,0
E01008492,North Tyneside 023E,10290.00,10,10,15,0.5,0.5
E01008493,North Tyneside 013A,12573.00,5,0,5,0,0
E01008494,North Tyneside 013B,14833.00,5,5,5,0,0
E01008495,North Tyneside 010A,8733.00,5,0,0,-1,0
E01008496,North Tyneside 010B,18412.00,5,10,5,0,-0.5
E01008497,North Tyneside 010C,15013.00,0,5,5,0,0
E01008498,North Tyneside 010D,9831.00,5,5,5,0,0
E01008499,North Tyneside 014B,17769.00,15,10,10,-0.333333333,0
E01008500,North Tyneside 012A,18882.00,5,5,5,0,0
E01008501,North Tyneside 018D,16497.00,0,0,0,0,0
E01008502,North Tyneside 014C,7153.00,10,10,5,-0.5,-0.5
E01008503,North Tyneside 018E,10004.00,10,10,5,-0.5,-0.5
E01008504,North Tyneside 002C,14777.00,5,0,0,-1,0
E01008505,North Tyneside 012B,9039.00,5,5,0,-1,-1
E01008506,North Tyneside 012C,10762.00,5,10,10,1,0
E01008507,North Tyneside 012D,19002.00,5,0,0,-1,0
E01008508,North Tyneside 026A,9520.00,10,10,5,-0.5,-0.5
E01008509,North Tyneside 026B,11663.00,5,20,20,3,0
E01008510,North Tyneside 026C,16892.00,5,5,10,1,1
E01008511,North Tyneside 028A,16932.00,20,15,15,-0.25,0
E01008512,North Tyneside 026D,5288.00,15,15,15,0,0
E01008513,North Tyneside 019C,10074.00,5,10,5,0,-0.5
E01008514,North Tyneside 019D,15770.00,0,15,15,0,0
E01008516,North Tyneside 014D,19470.00,5,5,5,0,0
E01008517,North Tyneside 005A,18501.00,0,5,0,0,-1
E01008518,North Tyneside 007A,10288.00,5,5,0,-1,-1
E01008519,North Tyneside 005B,17909.00,5,5,5,0,0
E01008520,North Tyneside 003A,19066.00,10,5,5,-0.5,0
E01008521,North Tyneside 005C,15085.00,0,5,0,0,-1
E01008522,North Tyneside 005D,16657.00,5,5,5,0,0
E01008523,North Tyneside 003B,9244.00,5,5,5,0,0
E01008524,North Tyneside 022B,17499.00,10,10,10,0,0
E01008525,North Tyneside 017A,11475.00,5,0,0,-1,0
E01008526,North Tyneside 020C,6461.00,0,0,0,0,0
E01008527,North Tyneside 017B,16856.00,0,10,5,0,-0.5
E01008528,North Tyneside 022C,14414.00,0,0,0,0,0
E01008529,North Tyneside 022D,13673.00,0,0,0,0,0
E01008530,North Tyneside 020D,6351.00,0,5,5,0,0
E01008531,North Tyneside 025A,5815.00,0,0,0,0,0
E01008532,North Tyneside 025B,7531.00,10,15,20,1,0.333333333
E01008533,North Tyneside 030A,18744.00,10,10,10,0,0
E01008534,North Tyneside 025C,17931.00,5,5,5,0,0
E01008535,North Tyneside 030B,6677.00,0,5,5,0,0
E01008536,North Tyneside 030C,16013.00,0,5,5,0,0
E01008537,North Tyneside 030D,11780.00,5,15,5,0,-0.666666667
E01008538,North Tyneside 025D,18243.00,5,5,5,0,0
E01008539,North Tyneside 027A,18329.00,5,5,5,0,0
E01008540,North Tyneside 027B,17575.00,35,15,10,-0.714285714,-0.333333333
E01008541,North Tyneside 027C,9719.00,15,20,15,0,-0.25
E01008542,North Tyneside 028B,12215.00,10,35,15,0.5,-0.571428571
E01008543,North Tyneside 028C,7454.00,5,20,15,2,-0.25
E01008544,North Tyneside 027D,11109.00,10,10,5,-0.5,-0.5
E01008545,North Tyneside 027E,7457.00,10,5,5,-0.5,0
E01008546,North Tyneside 003C,16783.00,0,0,5,0,0
E01008547,North Tyneside 001A,14665.00,0,5,0,0,-1
E01008548,North Tyneside 001B,13604.00,0,0,0,0,0
E01008549,North Tyneside 001C,8548.00,0,0,0,0,0
E01008550,North Tyneside 003D,19324.00,5,0,5,0,0
E01008551,North Tyneside 001D,11921.00,5,0,0,-1,0
E01008552,North Tyneside 009A,13586.00,5,5,5,0,0
E01008553,North Tyneside 009B,16662.00,10,15,5,-0.5,-0.666666667
E01008554,North Tyneside 009C,7602.00,5,5,5,0,0
E01008555,North Tyneside 009D,7961.00,0,15,10,0,-0.333333333
E01008556,North Tyneside 013C,18240.00,5,0,0,-1,0
E01008557,North Tyneside 013D,12790.00,5,0,5,0,0
E01008558,North Tyneside 016A,11541.00,0,0,0,0,0
E01008559,North Tyneside 017C,11331.00,5,0,5,0,0
E01008560,North Tyneside 016B,19998.00,0,5,0,0,-1
E01008561,North Tyneside 016C,12904.00,5,5,5,0,0
E01008562,North Tyneside 016D,5739.00,5,10,10,1,0
E01008563,North Tyneside 017D,5877.00,0,5,5,0,0
E01008564,North Tyneside 007B,17574.00,5,0,5,0,0
E01008565,North Tyneside 007C,11852.00,0,20,20,0,0
E01008567,North Tyneside 007D,16593.00,10,15,10,0,-0.333333333
E01008568,North Tyneside 011B,6633.00,10,5,10,0,1
E01008569,North Tyneside 011C,7473.00,5,20,10,1,-0.5
E01008570,North Tyneside 011D,8134.00,5,5,5,0,0
