gis_id,NAME,NBH_NAMES,NCID,population_total_val,population_under_18_val,population_under_5_val,total_neighborhood_poverty_perc,children_in_poverty_perc,single_mother_families_perc,youth_ready_to_work_perc,medicaid_enroll_val,prev_med_visit_val,dental_visit_val,er_ast_10_val,fs_client_2012_val,math_perc,reading_perc,cc_cap_val,cc_pop_ratio_perc,cc_child_pov_perc,cc_sub_13_cur,homeownership_perc,vacants_val,libraries_val,grocery_val,rec_val,metro_val,bus_stops_val,total_crime_val,total_crime_pc_val,homicide_val,homicide_pc_val,assault_val,assault_pc_val,robbery_val,robbery_pc_val,sex_abuse_val,sex_abuse_pc_val,,,white_18,black_18,hispanic_18,other_18,other_under_18,no_hs_degree_18_24,,children_in_poverty_numer,children_in_poverty_denom,population_other_total,white_under_18,black_under_18,hispanic_under_18,no_hs_degree_25_plus,youth_ready_to_work_numer,youth_ready_to_work_denom,homeownership_numer,work_numer,median_family_income,pop_nothisp_white_perc,pop_nothisp_black_perc,pop_nothisp_other_perc,pop_hisp_perc,pop_nothisp_white_under18_perc,pop_nothisp_black_under18_perc,pop_nothisp_other_under18_perc,pop_hisp_under18_perc
Nbclus_021,Cluster 21,"Edgewood, Bloomingdale, Truxton Circle, Eckington",21,20680.62,3301.476,1179.037,0.197039583,0.218482679,0.574407386,0.825394768,2392.061492,1688.086593,1257.061807,160.0969602,4880.541325,0.533707865,0.520599251,196,0.310143267,0.326697703,158348.67,0.460554165,46,0,0,2,0,127,273,13.20076477,4,0.193417799,85,4.110128226,173,8.365319802,11,0.531898947,,,3843.292,11575.124,1145.143,0.07,0.07,1568.640813,,703.495,3219.912,1058.427,157.878,2588.935,554.593,214.779,1521.711,1843.616,4026.906,916.768,0.574407386,0.2,0.69,0.05,0.07,0.06,0.8,0.04,0.1
Nbclus_022,Cluster 22,"Brookland, Brentwood, Langdon",22,13468.02,2917.168,739.821,0.188336283,0.25795179,0.600922518,0.669007711,1869.394754,1401.338078,1061.677591,104.8403616,3448.470777,0.510813594,0.520082389,129,0.267485019,0.196470237,702294.85,0.621264388,16,1,1,2,1,120,213,15.81524233,4,0.296999856,83,6.162747011,116,8.612995823,10,0.74249964,,,1251.644,8457.136,551.751,47.144,47.144,625.3571415,,745.913,2891.676,478.358,302.018,2422.076,145.93,188.189,498.198,744.682,3007.982,722.859,0.600922518,0.13,0.77,0.04,0.06,0.06,0.83,0.04,0.07
Nbclus_023,Cluster 23,"Ivy City, Arboretum, Trinidad, Carver Langston",23,16038.863,3266.35,807.437,0.328958268,0.414184987,0.714425102,0.578899317,2278.79174,1581.976258,1219.311935,145.9687742,5448.884191,0.433613445,0.375630252,139,0.345192389,0.377434316,188134.29,0.285662557,29,0,2,3,0,84,348,21.69729862,6,0.374091355,162,10.1004666,171,10.66160363,9,0.561137033,,,1256.639,10497.511,540.526,85.266,85.266,772.16008,,1342.492,3241.286,636.014,81.699,2769.528,329.857,403.714,793.231,1370.24,1816.827,887.822,0.714425102,0.07,0.86,0.03,0.04,0.02,0.91,0.03,0.05
Nbclus_024,Cluster 24,"Woodridge, Fort Lincoln, Gateway",24,6635.381,1058.668,464.774,0.152360654,0.096789146,0.393408835,0.717883778,1090.510736,835.3018341,636.0120346,56.18677176,2115.576004,0.553349876,0.545905707,4,0.013474183,0.007981865,259132.72,0.534751241,14,0,0,2,0,65,74,11.15233624,2,0.301414493,25,3.767681163,43,6.4804116,4,0.602828986,,,265.191,5043.025,187.883,-7.782,-7.782,245.5603044,,101.689,1050.624,135.872,44.877,964.456,57.117,35.105,240.649,335.22,1696.909,340.141,0.393408835,0.05,0.85,0.04,0.06,0.03,0.82,0.04,0.1
Nbclus_025,Cluster 25,"Union Station, Stanton Park, Kingman Park",25,26126.679,3996.256,1521.8,0.146805441,0.209772856,0.413791846,0.826804421,3458.687614,2392.437402,1844.80318,223.0570804,8323.787153,0.547465438,0.501382488,355,0.376332402,1.299999634,617511.91,0.515744833,54,1,1,1,2,112,336,12.86041751,4,0.153100208,80,3.062004168,238,9.1094624,14,0.535850729,,,10758.13,9422.776,974.375,254.182,254.182,1386.037751,,815.75,3888.73,1464.811,1229.631,2287.685,224.758,230.37,1798.04,2174.686,5782.365,966.798,0.413791846,0.49,0.42,0.05,0.04,0.31,0.56,0.07,0.06
Nbclus_026,Cluster 26,"Capitol Hill, Lincoln Park",26,29044.96,3971.006,1699.961,0.117845568,0.219446444,0.215744654,0.936966531,1604.957147,1131.527253,868.3366305,99.60491705,3698.485072,0.584431138,0.592814371,56,0.050287582,3.826182017,259132.72,0.544156361,19,1,3,1,4,138,217,7.471175722,1,0.034429381,56,1.928045348,153,5.267695325,7,0.241005668,,,14652.961,8264.336,1008.838,322.671,322.671,1173.337,,845.205,3851.532,1587.628,1768.942,1570.752,308.641,511.003,1313.762,1402.144,6348.133,707.247,0.215744654,0.56,0.34,0.05,0.05,0.5,0.34,0.09,0.07
Nbclus_027,Cluster 27,"Near Southeast, Navy Yard",27,2817,195,140,0.119955572,0.087179487,0.276923077,0.879746835,257.87018,183.6615253,140.5852614,,579.9631534,0.5,0.365384615,8,0.075471698,0.013937404,14559.37,0.259385666,11,0,0,1,1,36,22,7.80972666,0,0,4,1.419950302,18,6.389776358,0,0,,,1490,875,77,22,22,323.1019608,,17,195,247,72,101,0,26,417,474,380,62,0.276923077,0.43,0.45,0.07,0.05,0.16,0.74,0.05,0.06
Nbclus_028,Cluster 28,Historic Anacostia,28,5039.019,1608.268,694.945,0.47525072,0.664615787,0.863103272,0.481098874,1452.994224,1060.501834,803.3796838,81.81159335,2783.220243,0.404475043,0.356282272,109,0.300417001,0.309268113,737428.97,0.231348242,14,0,0,0,0,42,140,27.78318558,4,0.793805302,49,9.724114952,83,16.47146002,4,0.793805302,,,50.447,3363.514,1.144,0.657,0.657,378.1920249,,1067.466,1606.14,16.963,0.987,1605.414,1.21,297.042,131.098,272.497,424.484,285.764,0.863103272,0.01,0.96,0.02,0.01,0,0.97,0.02,0.01
Nbclus_029,Cluster 29,"Eastland Gardens, Kenilworth",29,2424.495,1050.168,83.049,0.428782834,0.60944206,0.58128655,0.3,442.0540591,306.8076243,254.662576,,826.4515557,0.451104101,0.406940063,5,,,33725.19,0.430789133,3,0,0,0,0,7,32,13.19862487,4,1.649828109,19,7.836683516,8,3.299656217,1,0.412457027,,,0.893,1346.644,0,5.358,5.358,57.259,,634.03,1040.345,32.148,0,1044.81,0,62.51,26.79,89.3,297.369,107.16,0.58128655,0.01,0.96,0.01,0.01,0,0.97,0.02,0.01
Nbclus_030,Cluster 30,"Mayfair, Hillbrook, Mahaning Heights",30,5955.239,1625.06,489.242,0.366501696,0.481690051,0.916253196,0.496710777,1883.480441,1307.229619,1085.052769,98.62930063,3521.300864,0.485996705,0.457990115,36,0.140941568,0.467532468,19188.14,0.253951134,31,0,0,1,1,38,125,20.98992165,4,0.671677493,33,5.541339315,82,13.7693886,6,1.007516239,,,30.785,4241.117,26.794,0,0,277.6553663,,782.663,1624.827,36.842,0.233,1619.468,5.359,183.947,228.254,459.531,679.767,353.164,0.916253196,0.01,0.95,0.02,0.02,0,0.96,0.01,0.02
