neighborhood,black_18,black_under_18,county,hispanic_18,hispanic_under_18,other_18,other_under_18,population_black_total,population_hisp_total,population_other_total,population_total,population_under_18,population_under_3,population_under_5,population_white_total,poverty_under_5,state,white_18,white_under_18,children_in_poverty_ratio,homeownership_ratio,median_family_income_ratio,no_hs_degree_18_24_ratio,no_hs_degree_25_plus_ratio,single_mother_families_perc_ratio,total_neighborhood_poverty_ratio,work_ratio,youth_ready_to_work_ratio,black_18_margin,black_under_18_margin,hispanic_18_margin,hispanic_under_18_margin,other_18_margin,other_under_18_margin,population_black_total_margin,population_hisp_total_margin,population_other_total_margin,population_total_margin,population_under_18_margin,population_under_3_margin,population_under_5_margin,population_white_total_margin,poverty_under_5_margin,white_18_margin,white_under_18_margin
33,11758.695,4421.611,6.713,250.071,158.985,12.0,12.0,16070.991,409.056,222.07,16862.282,4612.825,756.28,1256.96,160.165,528.008,73.843,139.936,20.229,0.396349946142,0.396113158564,44212.6302273,0.242055832653,0.17606871073,0.686262494111,0.27340870714,0.194462147834,0.511939862769,2361.62425685,434.507419064,606.828820581,120.295625274,2608.37629274,2608.37629274,784.36227086,202.276273527,193.127064266,794.907642409,521.675258548,186.82975289,248.06363566,92.5980724259,164.186334578,277.794217278,85.3743863287
34,12633.57,2425.893,5.355,116.533,63.466,77.592,77.592,15021.464,179.999,391.807,15932.308,2601.837,532.083,754.311,339.038,321.485,58.905,304.152,34.886,0.320875824462,0.470289924129,61508.904049,0.267605206841,0.140578984354,0.594412342663,0.216321274136,0.165221826411,0.561100273989,2154.26664807,327.584138154,336.114656348,90.2558676264,1857.22704956,1857.22704956,718.121426329,112.038218783,177.097968509,731.746936661,371.445409911,196.136568513,216.889317877,115.733299828,141.539450264,347.199899483,74.4469058054
35,3905.204,659.188,1.482,178.0,5.904,2.104,2.104,4526.488,183.904,91.118,5055.212,677.658,99.586,142.124,253.702,13.47,16.302,243.24,10.462,0.281495091885,0.379818981279,60014.2354459,0.300075474007,0.124197877936,0.72656862401,0.17988618675,0.201292783991,0.582678868327,1454.08075214,207.425221253,327.427864282,37.1247040123,1127.11180776,1127.11180776,475.854699991,109.142621427,61.2510371504,452.64111686,225.422361553,95.9001607506,103.217398398,119.184989659,20.2420324078,357.554968977,41.2116457813
36,5536.981,2350.957,2.013,34.0,10.0,0.013,0.013,7887.938,44.0,20.013,8030.653,2360.996,352.911,650.692,78.702,278.159,22.143,78.676,0.026,0.541715922823,0.142955285634,27626.6172274,0.368535933876,0.234565758326,0.853682973682,0.468105287765,0.289721747068,0.535754346607,2038.88092724,354.328782691,143.280211558,49.1548033055,2488.41833308,2488.41833308,679.626975746,47.7600705192,43.8303321913,676.632805685,497.683666616,137.214791054,182.564023983,64.3564964941,120.260528258,193.069489482,48.0015350588
37,5165.098,3123.782,2.978,88.922,92.812,-21.45,-21.45,8159.958,181.734,83.89,8458.472,3195.144,597.798,994.938,32.89,635.038,32.758,32.89,0.0,0.535300828482,0.167442730511,24870.7281257,0.180570047152,0.222920289129,0.725151969533,0.397089631248,0.184124425258,0.6758731627,2094.56457062,396.355612121,343.883241232,74.2003514008,2173.75332814,2173.75332814,704.936532431,114.627747077,100.941318398,692.385934256,434.750665628,156.185630274,218.151196971,37.8181831399,198.931834647,113.45454942,58.3598283753
38,8113.07,4786.529,3.626,90.545,89.229,-62.229,-62.229,12785.72,179.774,90.546,13123.189,4813.529,794.234,1478.415,67.149,681.327,39.886,67.149,0.0,0.456913733977,0.165383080128,27187.9813383,0.25611821434,0.214518033895,0.816416877891,0.394074329892,0.29285930892,0.553395101581,2410.70721716,578.490539341,431.482685397,95.044867347,2915.36601642,2915.36601642,814.983529868,143.827561799,91.8200035069,792.980408561,583.073203285,268.66279226,348.55836728,45.6081629207,242.300535008,136.824488762,62.4621659567
39,20919.914,8785.001,10.253,118.614,31.771,141.721,141.721,29641.794,150.385,391.687,30693.208,9005.493,1732.298,2800.808,509.342,1687.315,112.783,462.342,47.0,0.565189867717,0.223052729623,31858.4250304,0.277363938423,0.187765106299,0.809175106795,0.409397330091,0.234387862824,0.459890121006,4479.01227297,783.159697132,224.876592657,109.97035852,4458.35851593,4458.35851593,1494.84978161,74.958864219,176.006268161,1487.06165173,891.671703185,355.994642415,458.033222398,194.416521872,432.551150646,583.249565617,113.509810677
40,227.48,19.36,0.121,53.845,20.691,-4.477,-4.477,231.594,74.536,12.705,382.602,40.414,4.477,11.011,63.767,0.0,1.331,58.927,4.84,0.233532934132,0.530909090909,57938.0,0.253125,0.16028708134,0.292993630573,0.198594024605,0.0859431900947,0.691176470588,123.057,11.3172199767,104.544,13.6080626101,88.935,88.935,36.058,34.848,9.21826252609,49.489,17.787,5.566,8.22087927171,19.965,2.05343809257,59.895,4.54998615383
42,0.255,0.0,0.003,0.417,0.108,0.045,0.045,0.225,0.525,0.444,4.521,0.72,0.015,0.033,3.327,0.0,0.033,2.76,0.567,0.025,0.75456053068,250001.0,0.0,0.046204620462,0.0583333333333,0.0817146684528,0.0256024096386,1.0,0.531,0.101823376491,0.972,0.114236596588,0.93,0.93,0.177,0.324,0.261809090751,0.561,0.186,0.03,0.0492036584006,0.411,0.0509116882454,1.233,0.234038458378
43,14.07,9.38,0.007,0.105,0.0,0.0,0.0,23.45,0.105,0.259,23.975,9.38,1.218,1.687,0.161,0.896,0.077,0.161,0.0,0.491791044776,0.237317282889,29436.0,0.307486631016,0.188194038574,0.855619360131,0.430072992701,0.332991803279,0.543352601156,6.552,1.78398402459,0.546,0.237587878479,7.21,7.21,2.184,0.182,0.322,2.156,1.442,0.819,0.920413494034,0.182,0.689420046126,0.546,0.237587878479
44,615.946,345.09,1.114,208.736,169.0,72.508,72.508,961.036,377.736,171.508,3635.628,1187.598,404.25,640.09,2125.348,17.462,12.254,1524.348,601.0,0.0640438186563,0.0719526433474,66049.4463972,0.0157037427132,0.0232522135311,0.123118153644,0.0638125330749,0.11008562808,0.716809360731,866.740120961,171.715752638,480.185279079,82.824944262,1081.09249415,1081.09249415,288.913373654,160.061759693,140.169572561,455.89244128,216.218498829,137.647746963,161.894405648,381.074284853,11.7095670287,1143.22285456,132.732706565
45,0.375,0.0,1.003,0.363,0.171,0.087,0.087,0.375,0.534,0.543,9.012,0.9,0.195,0.336,7.56,0.0,11.033,6.918,0.642,0.0,0.424760601915,224125.0,0.0632911392405,0.00418760469012,0.0979020979021,0.0835095137421,0.0123520329388,0.946428571429,36.0056706784,33.9412782317,36.0087109461,33.9414348106,60.0094511306,60.0094511306,12.0018902261,12.0029036487,26.8340352538,12.0337026721,12.0018902261,12.0005414878,16.9712521636,12.0243596503,16.9706391158,36.0730789509,33.9418948646
